	Amazon CodeGuru	Amazon Comprehend	Amazon Fraud Detector	Amazon Kendra	Amazon Lex	Amazon Personalize	Amazon Recognition	Amazon Textract	Amazon Transcribe	Amazon Translate	Amazon SageMaker	Amazon SageMaker Ground Truth	Amazon Augmented AI	Container di deep learning AWS
Cos'è amazon lex?					Amazon Lex è un servizio per la creazione di interfacce di comunicazione tramite voce e testo. Amazon Lex è basato sullo stesso motore di comunicazione di Alexa e dispone di funzionalità di riconoscimento vocale e comprensione del linguaggio di alto livello, consentendo così l'aggiunta di chatbot dotati di linguaggio naturale in applicazioni sia nuove sia esistenti. Riducendo le complessità correlate allo sviluppo multipiattaforma, Amazon Lex consente di pubblicare più facilmente chatbot vocali o di testo su dispositivi mobili e servizi di chat, tra cui Facebook Messenger, Slack, Kik e Twilio SMS. Lo sviluppo di bot è rapido e semplice, grazie all'interoperabilità nativa con AWS Lambda e Amazon CloudWatch e alla facilità di integrazione con molti altri servizi sulla piattaforma AWS, tra cui Amazon Cognito e Amazon DynamoDB.									
Che cosa occorre per iniziare a utilizzare amazon lex?					"Per iniziare a usare Amazon Lex, accedi alla Console di gestione AWS e cerca ""Lex"" nella categoria ""Artificial Intelligence"" (Intelligenza Artificiale). Per procedere, è necessario disporre di un account Amazon Lex. Se non ne hai già uno, ti verrà richiesto di creare un account durante la procedura di registrazione. Per ulteriori informazioni, consulta la Guida alle operazioni di base di Amazon Lex V2."									
Quali sono i casi d'uso più comuni per amazon lex?					I casi d'uso più comuni sono:									
Come funziona amazon lex con altri servizi aws?					Amazon Lex sfrutta AWS Lambda per l'adempimento degli intenti, Amazon Cognito per l'autenticazione degli utenti e Amazon Polly per le funzioni di sintesi vocale.									
Per usare amazon lex devo essere un esperto di machine learning?					Per usare Amazon Lex non è necessaria alcuna esperienza nel campo del machine learning. Gli sviluppatori dovranno solo definire il flusso della conversazione a livello di dichiarazione, mentre il riconoscimento vocale e la comprensione del linguaggio naturale saranno a carico di Amazon Lex. Gli sviluppatori potranno fornire alcune enunciazioni campione nella lingua desiderata e i messaggi di richiesta agli utenti per ottenere i diversi parametri (slot) necessari. Il modello linguistico viene creato automaticamente.									
In quali regioni aws è disponibile amazon lex?					Per un elenco completo delle Regioni AWS in cui è supportato Amazon Lex, consulta la tabella delle Regioni AWS  per l'intera infrastruttura globale AWS. Per ulteriori informazioni, consulta inoltre la pagina Regioni ed Endpoint nei riferimenti generali di AWS.									
Qual è la larghezza di banda massima supportata da amazon lex?					Amazon Lex si adatta alle esigenze degli utenti e non impone vincoli di larghezza di banda.									
Amazon lex è un servizio gestito?					Amazon Lex è un servizio completamente gestito e non richiede quindi la gestione del ridimensionamento delle risorse o la manutenzione di codice. Il backup dello schema di interazione e dei modelli delle lingue viene eseguito automaticamente. Sono inoltre disponibili funzioni complete di controllo delle versioni, per semplificare un eventuale rollback. L'architettura di Amazon Lex non richiede l'esecuzione di operazioni di archiviazione o backup dei dati degli utenti finali. In quali casi si usa Amazon Polly anziché Amazon Lex? Amazon Polly esegue la sintesi vocale di input di testo. Amazon Lex è un servizio per la creazione di interfacce di comunicazione tramite voce e testo.									
Amazon lex diventa più intelligente nel tempo?					Sì. Amazon Lex migliora nel tempo, grazie alla tecnologia di apprendimento profondo.									
Come si crea un bot in amazon lex?					"Per creare un bot è innanzitutto necessario definire le operazioni che deve eseguire. Tali operazioni sono definite ""intenti"" che devono essere realizzati dal bot. Per ciascun intento è necessario definire slot ed enunciazioni di esempio. Le enunciazioni sono frasi che richiamano l'intento. Gli slot sono dati di input necessari per adempiere l'intento. È infine necessario fornire la logica di business necessaria per l'esecuzione dell'azione. È possibile creare un bot di Amazon Lex sia tramite console che tramite API REST."									
Posso implementare la logica di business nel client?					Sì. Amazon Lex consente di restituire intento e slot analizzati al client per l'implementazione della logica di business.									
Come si esegue la convalida dell'input dell'utente?					Grazie alla totale integrazione con AWS Lambda, Amazon Lex consente di convalidare l'input dell'utente tramite codeHook di inizializzazione e convalida. Questo codice viene eseguito a ogni passaggio della conversazione. È possibile usare codeHook per impostare i parametri della sessione, convalidare l'input dell'utente e personalizzare le risposte.									
Cos'è un intento?					"Per creare un bot di Amazon Lex, è necessario identificare un set di operazioni, definite ""intenti"", che il bot dovrà realizzare. Un bot può comprendere più intenti. Ad esempio, il bot ""PrenotazioneBiglietti"" può avere l'intento di effettuare, annullare e rivedere le prenotazioni."									
Cos'è un'enunciazione?					"Un'enunciazione è una frase pronunciata o scritta che richiama un intento. Ad esempio, per richiamare un intento volto ad effettuare prenotazioni, è possibile definire un'enunciazione di esempio come ""Posso effettuare una prenotazione?""."									
Che cosa sono gli slot?					"Per adempiere un intento, un bot di Amazon Lex ha bisogno di informazioni fornite dall'utente. Queste informazioni vengono acquisite in ""slot"". Ad esempio, il titolo e l'ora di uno spettacolo potrebbero essere definiti come slot per l'intento di effettuare prenotazioni."									
Che cosa sono i messaggi di richiesta?					"Amazon Lex ricava i valori degli slot utilizzando i messaggi di richiesta corrispondenti. Ad esempio, per ricavare il valore dello slot ""ora"" è necessario definire un messaggio di richiesta quale ""Quale orario desidera prenotare?"". Amazon Lex è in grado di ricavare i valori di più slot tramite una conversazione in più passaggi."									
Come si adempie un'azione?					Per l'adempimento di azioni o della logica di business Amazon Lex si integra con AWS Lambda. In alternativa, per l'adempimento di azioni è possibile configurare Amazon Lex in modo che restituisca al client intento e valori degli slot analizzati.									
Come si esegue il monitoraggio e il tracciamento di un bot?					"È possibile tenere traccia dei parametri per il bot nel pannello di controllo ""Monitoraggio"" nella console di Amazon Lex. Al momento è possibile tenere traccia del numero di enunciazioni perse, della latenza delle richieste e del traffico per canale. È possibile consultare un elenco di enunciazioni non riconosciute dal bot, dette anche ""enunciazioni perse"". Grazie alle funzionalità di monitoraggio, è possibile assistere in che modo gli utenti interagiscono con il bot per migliorarlo."									
Come si usa la progettazione automatizzata di chatbot?					La progettazione automatizzata di chatbot ti aiuta a creare un modello di bot in pochi clic. Per prima cosa fornisci un collegamento alla posizione S3 che contiene le trascrizioni delle conversazioni tramite la console Lex (o SDK). Tramite la progettazione automatizzata di chatbot queste trascrizioni verranno poi elaborate per creare un modello di chatbot che includa gli intenti dell'utente, frasi di esempio associate a tali intenti e un elenco di tutte le informazioni necessarie per soddisfarli. Puoi quindi rivedere i risultati forniti dalla progettazione automatizzata di chatbot e aggiungere gli intenti e i tipi di slot più adatti al tuo bot.									
Quali formati di trascrizione sono supportati dalla progettazione automatizzata di chatbot?					Le trascrizioni devono contenere conversazioni tra un chiamante e un agente in formato JSON standard. Una trascrizione di esempio in questo formato è disponibile nella documentazione di Amazon Lex. I clienti di Amazon Connect che utilizzano Contact Lens possono utilizzare direttamente le trascrizioni delle conversazioni nel loro formato originale. Le trascrizioni delle conversazioni da altri servizi di trascrizione possono richiedere una semplice conversione. Dettagli sul processo di conversione sono disponibili qui.									
Quali lingue sono supportate dalla progettazione automatizzata di chatbot?					La progettazione automatizzata di chatbot supporta tutte le versioni della lingua inglese (inglese americano, britannico, australiano, indiano e sudafricano) supportate da Amazon Lex. In anteprima, la progettazione automatizzata di chatbot supporta l'inglese americano.									
Cosa succede quando si crea un bot?					La creazione di un bot attiva l'apprendimento automatico e crea i modelli per il bot stesso, nonché una nuova versione degli intenti e dei tipi di slot. Una volta creata, una versione è immutabile.									
Come si esegue il test di un bot di amazon lex?					È possibile testare un bot di Amazon Lex tramite l'apposita finestra nella console. In questa console è possibile eseguire anche il test della logica di business implementata in AWS Lambda. Il testing dei testi per il bot di Amazon Lex è consentito su tutti i browser supportati; i messaggi vocali possono essere testati esclusivamente in Chrome.									
Come si creano i bot di amazon lex per dispositivi mobili?					Amazon Lex mette a disposizione kit SDK per iOS e Android. Questi kit consentono di sviluppare bot per i casi d'uso dei dispositivi mobili. L'autenticazione dell'utente può essere abilitata tramite Amazon Cognito.									
Come si rendono disponibili i bot di amazon lex all'interno di servizi di messaggistica?					È possibile pubblicare i bot di Amazon Lex all'interno di piattaforme di messaggistica, ad esempio Facebook Messenger, Slack, Kik e Twilio SMS. Per pubblicare il bot puoi fornire i token di autenticazione all'interno della console; AWS li archivierà in modo sicuro e fornirà un URL di callback, che a tua volta potrai fornire al servizio di chat.									
È necessario sottoporre un bot a certificazione prima di distribuirlo?					Non è necessario ottenere la certificazione Amazon di un bot prima di distribuirlo.									
È possibile distribuire una versione di un bot di amazon lex agli utenti finali pur continuando a sviluppare una versione diversa?					Sì. È possibile creare una build e distribuire una versione del bot in produzione mentre è in corso lo sviluppo di una versione differente. Ogni versione dei bot di Amazon Lex è dotata di un codice ARN. Ogni versione può essere associata a un alias diverso. È possibile utilizzare questi strumenti per configurare ambienti di sviluppo, gestione temporanea e produzione.									
